start_time,user_ip,dest_ip,user_port,dest_port,host,start_time_long,day
2017-03-27T12:19:59.000+04:30,100.89.241.167,23.211.101.192,52313,80,en-us.appex-rf.msn.com,1490600999,2017-03-27
2017-03-27T12:20:00.000+04:30,100.89.241.167,23.211.101.192,52317,80,en-us.appex-rf.msn.com,1490601000,2017-03-27
2017-03-27T12:20:00.000+04:30,100.81.228.97,207.46.194.14,51664,80,bat.r.msn.com,1490601000,2017-03-27
2017-03-27T12:20:02.000+04:30,100.81.135.93,192.168.194.73,49826,8080,weather.service.msn.com,1490601002,2017-03-27
2017-03-27T12:20:03.000+04:30,100.81.135.93,192.168.194.73,46749,8080,weather.service.msn.com,1490601003,2017-03-27
2017-03-27T12:20:04.000+04:30,100.81.135.93,192.168.194.73,53906,8080,weather.service.msn.com,1490601004,2017-03-27
2017-03-27T12:20:04.000+04:30,100.91.78.76,23.211.101.192,50253,80,en-US.appex-rf.msn.com,1490601004,2017-03-27
2017-03-27T12:20:05.000+04:30,100.81.135.93,192.168.194.73,38268,8080,weather.service.msn.com,1490601005,2017-03-27
2017-03-27T12:20:05.000+04:30,100.91.78.76,23.211.101.192,50254,80,en-US.appex-rf.msn.com,1490601005,2017-03-27
2017-03-27T12:20:05.000+04:30,100.91.78.76,23.211.101.192,50252,80,en-US.appex-rf.msn.com,1490601005,2017-03-27
2017-03-27T12:20:06.000+04:30,100.81.135.93,192.168.194.73,42892,8080,weather.service.msn.com,1490601006,2017-03-27
2017-03-27T12:20:06.000+04:30,100.81.135.93,192.168.194.73,49550,8080,weather.service.msn.com,1490601006,2017-03-27
2017-03-27T12:20:07.000+04:30,100.121.248.206,23.211.101.192,59015,80,en-us.appex-rf.msn.com,1490601007,2017-03-27
2017-03-27T12:20:16.000+04:30,100.89.246.176,104.111.218.178,54758,80,en-US.appex-rf.msn.com,1490601016,2017-03-27
2017-03-27T12:20:16.000+04:30,100.89.246.176,104.111.218.178,54757,80,en-US.appex-rf.msn.com,1490601016,2017-03-27
2017-03-27T12:20:16.000+04:30,100.91.112.143,104.75.73.121,49897,80,cdn.content.prod.cms.msn.com,1490601016,2017-03-27
2017-03-27T12:20:18.000+04:30,100.91.54.241,23.211.101.51,49169,80,cdn.content.prod.cms.msn.com,1490601018,2017-03-27
