start_time,user_ip,dest_ip,user_port,dest_port,host
2017-03-27 12:20:35,10.205.23.85,23.211.101.51,49455,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:37,100.91.112.143,23.211.101.51,49924,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:38,100.81.160.40,104.125.66.81,49166,80,en-US.appex-rf.msn.com
2017-03-27 12:20:38,100.91.70.122,23.211.101.51,57738,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:40,100.81.160.40,104.125.66.81,49168,80,en-US.appex-rf.msn.com
2017-03-27 12:20:40,100.82.40.52,2.19.240.28,49415,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:40,100.82.40.52,2.19.240.28,49415,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:50,100.102.200.18,2.18.213.24,60656,80,weather.service.msn.com
2017-03-27 12:20:53,100.102.200.18,2.18.213.49,45163,80,weather.service.msn.com
2017-03-27 12:20:54,100.89.226.171,188.43.73.91,38859,80,weather.service.msn.com
2017-03-27 12:21:01,10.161.249.250,104.125.12.52,49420,80,cdn.content.prod.cms.msn.com
2017-03-27 12:21:02,100.81.135.93,192.168.194.73,51103,8080,weather.service.msn.com
